Sender,channel,text,url_html
b0rk,kubernetes-users,also <https://github.com/kubernetes/kubernetes/issues/49314>,https://github.com/kubernetes/kubernetes/issues/49314
3dinfluence,kubernetes-users,In case anyone here wants to participate <https://github.com/kubernetes/kubernetes/issues/57518>,https://github.com/kubernetes/kubernetes/issues/57518
luxas,kubernetes-users,PTAL at <https://github.com/kubernetes/kubernetes/issues/48841>,https://github.com/kubernetes/kubernetes/issues/48841
gekudray,kubernetes-users,Not sure how aware the maintainers are but kubelet is broken on Core SKUs. I've opened <https://github.com/kubernetes/kubernetes/issues/55031> with the details.,https://github.com/kubernetes/kubernetes/issues/55031
typositoire,kubernetes-users,<https://github.com/kubernetes/kubernetes/issues/32839>,https://github.com/kubernetes/kubernetes/issues/32839
shyamjvs,kubernetes-users,"&gt; the run time of the last successful run and the earlier failed runs was almost identical
Yes, that's true and the reason is known. <https://github.com/kubernetes/kubernetes/issues/47419>",https://github.com/kubernetes/kubernetes/issues/47419
ramon.ruettimann,kubernetes-users,"Hi guys,
I opened an issue two weeks ago; 
<https://github.com/kubernetes/kubernetes/issues/57505>
Can someone confirm this ""bug""?",https://github.com/kubernetes/kubernetes/issues/57505
justaugustus,kubernetes-users,"It looks like it's being worked by <@U0ASA4398>, who has also been tackling the initial Scale Sets work:
- <https://github.com/kubernetes/kubernetes/issues/43287>
- <https://github.com/kubernetes/autoscaler/issues/449>

Perhaps he can provide a little more context?",https://github.com/kubernetes/kubernetes/issues/43287
maciekpytel,kubernetes-users,<https://github.com/kubernetes/kubernetes/issues/54574>,https://github.com/kubernetes/kubernetes/issues/54574
mhausenblas,kubernetes-users,"Up to 1.6 it was indeed 3 and 5 min, see for example <https://github.com/kubernetes/kubernetes/issues/44202>",https://github.com/kubernetes/kubernetes/issues/44202
liggitt,kubernetes-users,<https://github.com/kubernetes/kubernetes/issues/43409> was opened as a feature request a while ago,https://github.com/kubernetes/kubernetes/issues/43409
christopher376,kubernetes-users,<https://github.com/kubernetes/kubernetes/issues/49270>,https://github.com/kubernetes/kubernetes/issues/49270
tianshapjq,kubernetes-users,<https://github.com/kubernetes/kubernetes/issues/16435>,https://github.com/kubernetes/kubernetes/issues/16435
cmluciano,kubernetes-users,<@U0GBTV9DY> Is this the blocking issue <https://github.com/kubernetes/kubernetes/issues/49480>,https://github.com/kubernetes/kubernetes/issues/49480
mattjmcnaughton,kubernetes-users,"Hi all :slightly_smiling_face: just syncing re anyone had thoughts on <https://github.com/kubernetes/kubernetes/issues/52989> ? If other’s dont feel the same way, I’ll go ahead and close the issue",https://github.com/kubernetes/kubernetes/issues/52989
jberkus,kubernetes-users,"<@U3F6LNYLS> what's the status of <https://github.com/kubernetes/kubernetes/issues/56052>?  You haven't updated it, and there still is no ETA.",https://github.com/kubernetes/kubernetes/issues/56052
